name,num,id
Вітал Немілостів,96.0,646.0
Геннад Москал,96.0,647.0
Кирилл Молчан,95.0,648.0
Мінекономік,95.0,649.0
Гітанас Наусєд,95.0,650.0
Максим Микит,95.0,651.0
Андр Смирн,95.0,652.0
Олександр Новак,95.0,653.0
Мустаф Джемілєв,95.0,654.0
Марин Хонд,95.0,655.0
Стелл Кіріакідес,95.0,656.0
Угур Шахін,95.0,657.0
Хантер,94.0,658.0
Вітал Кім,94.0,659.0
Сталін,94.0,660.0
Тетян,94.0,661.0
Олег Семінськ,94.0,662.0
Нацбанк,94.0,663.0
Оксан Гайсинськ,94.0,664.0
Петер Стан,94.0,665.0
Рікард Йозвяк,93.0,666.0
Ігор Сапожк,93.0,667.0
Джузепп Конт,93.0,668.0
Емер Кук,93.0,669.0
Майк Тайсон,93.0,670.0
Олен Кондратюк,92.0,671.0
Джон Кірб,92.0,672.0
Андр Александрін,92.0,673.0
Геннад Друзенк,92.0,674.0
Сум Свамінатан,92.0,675.0
Жан Беленюк,92.0,676.0
Дем Роуз,92.0,677.0
Конор Макгрегор,92.0,678.0
Президент Байден,92.0,679.0
Серг Костенк,92.0,680.0
Вір Брежнєв,92.0,681.0
Мелан Трамп,92.0,682.0
Борис Донськ,91.0,683.0
Джонсон,91.0,684.0
Віктор Скаршевськ,91.0,685.0
Андр Лесик,91.0,686.0
Олександр Шумк,91.0,687.0
Пресвят Богородиц,91.0,688.0
Тупицьк,91.0,689.0
Олександр Завітневич,91.0,690.0
Віктор Тимчик,91.0,691.0
Олександр Третяк,91.0,692.0
Марічк Падалк,91.0,693.0
Андр Джеджул,91.0,694.0
Валентин Рыбин,90.0,695.0
Шкарлет,90.0,696.0
Кріштіан Роналд,90.0,697.0
Кріс Вітт,90.0,698.0
Берлін,90.0,699.0
Сенат,90.0,700.0
Микол Азар,90.0,701.0
Дієг Марадон,90.0,702.0
Пап Франциск,89.0,703.0
Володимир Курпіт,89.0,704.0
Христин,89.0,705.0
"Раніш "" Апостроф """,89.0,706.0
Михайл Бондар,89.0,707.0
Ткаченк,89.0,708.0
Ілон Гвозд,89.0,709.0
Над Максимец,88.0,710.0
Дід Мороз,88.0,711.0
Бен Ембарек,88.0,712.0
Лесе Нікітюк,88.0,713.0
