,num,del_flag,id,full_name
Юр Атаманюк,65,False,551,Юрій Атаманюк
Стерненк,65,True,552,
Дмитр Ільченк,65,False,553,Дмитро Ільченк
Андр,65,True,554,
Олекс Донськ,65,False,555,Олексій Донський
Кирилл Молчан,65,False,556,Кирило Молчанов
Байд,64,True,557,
Елін Світолін,64,True,558,
Миха Добкин,64,False,559,Михайло Добкін
Андр Москаленк,64,False,560,
Ігор Добруцьк,64,False,561,
Федір Лап,64,False,562,Федір Лапій
Нестор Шуфрич,64,True,563,
Томас Бах,64,False,564,
Угур Шахін,63,True,565,
Володимир Дантес,63,True,566,
Алл Ващенк,63,True,567,
Дар Каленюк,63,False,568,Дар'я Каленюк
Геннад Рябц,62,False,569,Геннадій Рябцев
Олександр Перцовськ,62,False,570,
Ігор Поночовн,62,False,571,
Тетян,62,True,572,
Регін Тодоренк,62,True,573,
Макс Галкін,62,True,574,
Над Максимец,62,True,575,
Олекс Петр,62,True,576,
Роберт Сперанц,62,True,577,
Олександр Щерб,62,True,578,
Микит Добринін,62,False,579,
Ральф Гудейл,61,True,580,
Оксан Мачак,61,True,581,
Олександр Третяк,61,False,582,
Арнольд Шварценеггер,61,False,583,
Макс Козицьк,61,False,584,
Бабел,61,True,585,
Пап Франциск,61,False,586,
Олекс Потапенк,61,True,587,
Стефан Бансел,60,True,588,
Серг Горбач,60,False,589,
Дмитр Орл,60,True,590,
Александр Тупицк,60,True,591,
Мирон Маркевич,60,False,592,
Маргарит Симоньян,60,True,593,
Дмитр Мельник,60,True,594,
Педр Санчес,60,True,595,
Вітренк,59,True,596,
Дмитр Нескоромн,59,True,597,
Володимир Кличк,59,True,598,
Штеффен Зайберт,59,False,599,
Валер Пацкан,59,True,600,
Ігор Черняк,59,True,601,
Олекс Дорошенк,59,False,602,Олексій Дорошенко
Ярн Хабіхт,58,False,603,Ярно Хабіхт
Олександр Густєлєв,58,False,604,
Ганс Клюг,58,True,605,
Алін Мустафаєв,58,True,606,
Майкл Райа,58,True,607,
Андр Смирн,58,True,608,
Дмитр Чубенк,58,True,609,
Ольг Соломк,58,False,610,
Майкл Шервін,57,True,611,
Георг Гахар,57,True,612,
Джерр Райс,57,True,613,
Юл Ковал,57,True,614,
Витренк,57,True,615,
Васил,57,True,616,
Виктор Бобыренк,57,False,617,
Сум Свамінатан,57,True,618,
Лопес Обрадор,56,False,619,
Юр Романенк,56,False,620,
Андр Рибак,56,False,621,
Ігор Лупандін,56,True,622,
Фат Бенсуд,56,True,623,
Джонсон,56,False,624,
Мустаф Най,56,True,625,
Жан Беленюк,56,False,626,
Олександр Кочетк,56,False,627,
Вітал Безгін,56,True,628,
Володимир Бажен,56,False,629,
Олег Ждан,56,False,630,
Юр Сулаєв,55,True,631,
Нікол Стерджен,55,True,632,
Ірин Садовяк,55,False,633,
Ольг Мозг,55,True,634,
Микол Полоз,55,False,635,Микола Полозов
Юл Ковтун,55,True,636,
Серг Ребр,55,True,637,
Віл Барр,55,True,638,
Мілош Земан,55,True,639,
Альберт Бурл,55,False,640,
